chr,position,score,mac,maf,gve
5,18537737,4.774207,61,0.34463277,N/A
3,3709178,4.7413783,15,0.084745765,N/A
3,22068188,4.7413783,15,0.084745765,N/A
4,5614847,4.7413783,15,0.084745765,N/A
4,5615371,4.7413783,15,0.084745765,N/A
4,6455823,4.7413783,15,0.084745765,N/A
5,17639157,4.7413783,15,0.084745765,N/A
1,1087806,4.7299447,10,0.056497175,N/A
1,1923827,4.7299447,10,0.056497175,N/A
1,1929316,4.7299447,10,0.056497175,N/A
1,9553925,4.7299447,10,0.056497175,N/A
5,20787773,4.7299447,10,0.056497175,N/A
1,11459544,4.7048793,41,0.23163842,N/A
3,9131327,4.7048793,41,0.23163842,N/A
3,9135463,4.7048793,41,0.23163842,N/A
2,16398369,4.697095,27,0.15254237,N/A
3,2940105,4.697095,27,0.15254237,N/A
1,5880999,4.673393,53,0.29943502,N/A
1,5887798,4.673393,53,0.29943502,N/A
1,18140124,4.673393,53,0.29943502,N/A
2,7453566,4.673393,53,0.29943502,N/A
1,19474731,4.633472,34,0.19209039,N/A
2,325483,4.6323028,18,0.10169491,N/A
3,3083271,4.6323028,18,0.10169491,N/A
5,3369377,4.6323028,18,0.10169491,N/A
1,27219383,4.6319337,24,0.13559322,N/A
3,5324146,4.6319337,24,0.13559322,N/A
3,5325503,4.6319337,24,0.13559322,N/A
5,14547303,4.6319337,24,0.13559322,N/A
1,7307749,4.6051755,21,0.118644066,N/A
1,7308940,4.6051755,21,0.118644066,N/A
2,4293484,4.6051755,21,0.118644066,N/A
3,14874726,4.6051755,21,0.118644066,N/A
1,27459603,4.600391,4,0.02259887,N/A
1,27460109,4.600391,4,0.02259887,N/A
1,27460806,4.600391,4,0.02259887,N/A
3,1110618,4.600391,4,0.02259887,N/A
3,4444826,4.600391,4,0.02259887,N/A
4,7754569,4.600391,4,0.02259887,N/A
5,14007290,4.57451,61,0.34463277,N/A
2,7460083,4.5325847,38,0.21468927,N/A
2,7460388,4.5325847,38,0.21468927,N/A
1,81068,4.5290365,8,0.04519774,N/A
1,5771337,4.5290365,8,0.04519774,N/A
1,5815152,4.5290365,8,0.04519774,N/A
1,9712543,4.5290365,8,0.04519774,N/A
1,25742421,4.5290365,8,0.04519774,N/A
5,14008240,4.5027566,67,0.37853107,N/A
3,19720263,4.5014353,31,0.17514125,N/A
1,5880158,4.4807696,54,0.30508474,N/A
4,970737,4.4807696,54,0.30508474,N/A
5,4732108,4.4807696,54,0.30508474,N/A
2,7452116,4.474562,42,0.23728813,N/A
5,14118472,4.4658394,72,0.40677965,N/A
1,5883808,4.453666,50,0.28248587,N/A
5,1376498,4.453666,50,0.28248587,N/A
2,7450092,4.4502606,46,0.259887,N/A
3,8501221,4.4502606,46,0.259887,N/A
1,3007627,4.4359083,6,0.033898305,N/A
1,4479915,4.4359083,6,0.033898305,N/A
1,23541042,4.4359083,6,0.033898305,N/A
1,24369877,4.4359083,6,0.033898305,N/A
1,24369949,4.4359083,6,0.033898305,N/A
3,15686572,4.4359083,6,0.033898305,N/A
3,17686793,4.4359083,6,0.033898305,N/A
3,12280746,4.4246345,63,0.3559322,N/A
1,9721493,4.409802,13,0.073446326,N/A
3,3699279,4.409802,13,0.073446326,N/A
3,3705194,4.409802,13,0.073446326,N/A
4,17801208,4.409802,13,0.073446326,N/A
5,783696,4.409802,13,0.073446326,N/A
5,3126078,4.409802,13,0.073446326,N/A
5,3364656,4.409802,13,0.073446326,N/A
5,3367063,4.409802,13,0.073446326,N/A
5,7713747,4.409802,13,0.073446326,N/A
5,19519016,4.409802,13,0.073446326,N/A
2,16430411,4.3891406,28,0.15819208,N/A
4,9831565,4.3891406,28,0.15819208,N/A
2,1558748,4.3741126,35,0.19774011,N/A
3,12350458,4.3741126,35,0.19774011,N/A
5,24710892,4.358831,78,0.44067797,N/A
1,17390063,4.3510833,59,0.33333334,N/A
1,17391206,4.3510833,59,0.33333334,N/A
1,17391627,4.3510833,59,0.33333334,N/A
2,16399187,4.300639,25,0.14124294,N/A
2,16405531,4.300639,25,0.14124294,N/A
3,5326996,4.300639,25,0.14124294,N/A
1,7336585,4.296118,39,0.22033899,N/A
1,7793264,4.296118,39,0.22033899,N/A
3,9001140,4.296118,39,0.22033899,N/A
2,2322039,4.295619,55,0.31073445,N/A
5,25063799,4.295619,55,0.31073445,N/A
1,5823368,4.2688303,16,0.09039548,N/A
1,26585798,4.2688303,16,0.09039548,N/A
3,18024966,4.2688303,16,0.09039548,N/A
4,5590018,4.2688303,16,0.09039548,N/A
4,5623874,4.2688303,16,0.09039548,N/A
4,17608214,4.2688303,16,0.09039548,N/A
5,1939850,4.2688303,16,0.09039548,N/A
5,3355717,4.2688303,16,0.09039548,N/A
5,7737142,4.2688303,16,0.09039548,N/A
5,25822112,4.2688303,16,0.09039548,N/A
5,25829934,4.2688303,16,0.09039548,N/A
1,5883199,4.2595854,51,0.2881356,N/A
3,8720806,4.2595854,51,0.2881356,N/A
3,5330497,4.258548,64,0.36158192,N/A
1,8429626,4.2556653,43,0.24293785,N/A
5,7498616,4.2556653,43,0.24293785,N/A
3,1062247,4.245158,47,0.26553673,N/A
3,361799,4.2424445,22,0.12429378,N/A
3,362906,4.2424445,22,0.12429378,N/A
3,364786,4.2424445,22,0.12429378,N/A
3,368430,4.2424445,22,0.12429378,N/A
3,369501,4.2424445,22,0.12429378,N/A
3,3083799,4.2424445,22,0.12429378,N/A
4,968904,4.2424445,22,0.12429378,N/A
5,6582125,4.2424445,22,0.12429378,N/A
5,21131972,4.2424445,22,0.12429378,N/A
2,16672225,4.230532,32,0.18079096,N/A
3,8714435,4.230532,32,0.18079096,N/A
3,9627317,4.230532,32,0.18079096,N/A
5,5827123,4.225427,19,0.107344635,N/A
5,7739921,4.225427,19,0.107344635,N/A
1,12499178,4.197361,69,0.3898305,N/A
1,17391803,4.1795783,60,0.33898306,N/A
3,10189687,4.1795783,60,0.33898306,N/A
3,12346414,4.1795783,60,0.33898306,N/A
1,5952292,4.158751,64,0.36158192,N/A
5,14008074,4.158751,64,0.36158192,N/A
1,17386978,4.117907,70,0.39548022,N/A
5,7710724,4.117907,70,0.39548022,N/A
3,6010417,4.117553,56,0.31638417,N/A
4,974913,4.117553,56,0.31638417,N/A
4,980599,4.117553,56,0.31638417,N/A
5,7321640,4.117553,56,0.31638417,N/A
2,1561251,4.1036077,29,0.16384181,N/A
3,18239254,4.1036077,29,0.16384181,N/A
1,1096656,4.098406,11,0.06214689,N/A
1,5821121,4.098406,11,0.06214689,N/A
1,17394940,4.098406,11,0.06214689,N/A
1,26953508,4.098406,11,0.06214689,N/A
2,15951169,4.098406,11,0.06214689,N/A
3,3683061,4.098406,11,0.06214689,N/A
3,8944955,4.098406,11,0.06214689,N/A
4,6030502,4.098406,11,0.06214689,N/A
4,6329687,4.098406,11,0.06214689,N/A
4,6765033,4.098406,11,0.06214689,N/A
5,3130900,4.098406,11,0.06214689,N/A
1,5883293,4.0735145,52,0.2937853,N/A
3,2453009,4.0735145,52,0.2937853,N/A
2,10713425,4.0722814,40,0.2259887,N/A
4,13485701,4.0722814,40,0.2259887,N/A
5,7706403,4.047915,63,0.3559322,N/A
5,14008573,4.047915,63,0.3559322,N/A
1,1003330,4.0474286,44,0.24858756,N/A
3,8496637,4.0474286,44,0.24858756,N/A
4,2027516,4.0474286,44,0.24858756,N/A
5,798577,4.045512,70,0.39548022,N/A
3,8227477,4.02885,56,0.31638417,N/A
2,7434280,4.0162277,80,0.4519774,N/A
2,7434986,4.0162277,80,0.4519774,N/A
2,8088582,4.0141077,61,0.34463277,N/A
5,7717064,4.003373,69,0.3898305,N/A
1,26198046,3.9961696,26,0.14689265,N/A
1,28257865,3.9961696,26,0.14689265,N/A
2,11309198,3.9961696,26,0.14689265,N/A
3,7158798,3.9961696,26,0.14689265,N/A
3,8215808,3.9961696,26,0.14689265,N/A
3,9003170,3.9961696,26,0.14689265,N/A
4,144124,3.9961696,26,0.14689265,N/A
5,7503914,3.9961696,26,0.14689265,N/A
1,27935457,3.9953253,75,0.42372882,N/A
2,16260968,3.9770856,33,0.18644068,N/A
3,8717316,3.9770856,33,0.18644068,N/A
3,18249122,3.9770856,33,0.18644068,N/A
4,15930674,3.9518216,86,0.4858757,N/A
3,10247842,3.946213,57,0.3220339,N/A
2,7434563,3.94251,66,0.37288135,N/A
1,143199,3.9158826,14,0.07909604,N/A
1,26487834,3.9158826,14,0.07909604,N/A
2,979563,3.9158826,14,0.07909604,N/A
2,10105258,3.9158826,14,0.07909604,N/A
2,17104437,3.9158826,14,0.07909604,N/A
3,2221399,3.9158826,14,0.07909604,N/A
3,3703170,3.9158826,14,0.07909604,N/A
3,3774294,3.9158826,14,0.07909604,N/A
3,5444262,3.9158826,14,0.07909604,N/A
3,6232180,3.9158826,14,0.07909604,N/A
3,12357411,3.9158826,14,0.07909604,N/A
4,1012522,3.9158826,14,0.07909604,N/A
4,3803623,3.9158826,14,0.07909604,N/A
4,5831804,3.9158826,14,0.07909604,N/A
4,12163321,3.9158826,14,0.07909604,N/A
4,13768798,3.9158826,14,0.07909604,N/A
4,13771068,3.9158826,14,0.07909604,N/A
5,3122320,3.9158826,14,0.07909604,N/A
5,3122749,3.9158826,14,0.07909604,N/A
5,3363260,3.9158826,14,0.07909604,N/A
5,7695802,3.9158826,14,0.07909604,N/A
5,14888246,3.9158826,14,0.07909604,N/A
5,25080030,3.9158826,14,0.07909604,N/A
5,26769515,3.9158826,14,0.07909604,N/A
1,8622163,3.9127755,23,0.1299435,N/A
2,1046307,3.9127755,23,0.1299435,N/A
2,5665606,3.9127755,23,0.1299435,N/A
3,7106998,3.9127755,23,0.1299435,N/A
3,10193347,3.9127755,23,0.1299435,N/A
3,19722446,3.9127755,23,0.1299435,N/A
5,5885840,3.9127755,23,0.1299435,N/A
5,17452674,3.9127755,23,0.1299435,N/A
5,26045040,3.9127755,23,0.1299435,N/A
1,105894,3.9001513,37,0.20903955,N/A
1,23905179,3.9001513,37,0.20903955,N/A
3,10183246,3.9001513,37,0.20903955,N/A
4,17227925,3.9001513,37,0.20903955,N/A
3,16650930,3.8995585,80,0.4519774,N/A
1,17389961,3.898239,71,0.40112993,N/A
5,7306837,3.898239,71,0.40112993,N/A
1,5882055,3.895015,53,0.29943502,N/A
3,12259999,3.895015,53,0.29943502,N/A
5,7717098,3.8908882,68,0.38418078,N/A
5,7717620,3.8908882,68,0.38418078,N/A
1,12486601,3.881043,81,0.45762712,N/A
5,7704500,3.881043,81,0.45762712,N/A
2,1571383,3.878341,76,0.42937854,N/A
1,12497957,3.8722908,47,0.26553673,N/A
1,932489,3.8619168,49,0.27683616,N/A
2,7452939,3.8619168,49,0.27683616,N/A
4,5750554,3.8619168,49,0.27683616,N/A
1,12985524,3.8609638,20,0.11299435,N/A
1,29471828,3.8609638,20,0.11299435,N/A
2,14492019,3.8609638,20,0.11299435,N/A
2,16385633,3.8609638,20,0.11299435,N/A
2,16398224,3.8609638,20,0.11299435,N/A
3,10192761,3.8609638,20,0.11299435,N/A
3,10196520,3.8609638,20,0.11299435,N/A
4,5628702,3.8609638,20,0.11299435,N/A
4,5631858,3.8609638,20,0.11299435,N/A
5,989628,3.8609638,20,0.11299435,N/A
5,7361673,3.8609638,20,0.11299435,N/A
5,8453393,3.8609638,20,0.11299435,N/A
3,5333692,3.8601713,41,0.23163842,N/A
4,2515988,3.8601713,41,0.23163842,N/A
5,7366909,3.8601713,41,0.23163842,N/A
5,14237780,3.8601713,41,0.23163842,N/A
3,9668061,3.8543904,62,0.3502825,N/A
3,1090303,3.8538294,17,0.096045196,N/A
3,18449200,3.8538294,17,0.096045196,N/A
4,5623399,3.8538294,17,0.096045196,N/A
5,3118874,3.8538294,17,0.096045196,N/A
5,3323938,3.8538294,17,0.096045196,N/A
1,26447108,3.8491597,45,0.2542373,N/A
2,13909296,3.8491597,45,0.2542373,N/A
1,11810724,3.8382847,30,0.16949153,N/A
2,6310921,3.8382847,30,0.16949153,N/A
2,16677883,3.8382847,30,0.16949153,N/A
4,5753156,3.8382847,30,0.16949153,N/A
4,13489315,3.8382847,30,0.16949153,N/A
2,2202954,3.8316855,61,0.34463277,N/A
3,14258356,3.8316855,61,0.34463277,N/A
5,14010362,3.8316855,61,0.34463277,N/A
1,75481,3.8153994,9,0.050847456,N/A
1,75721,3.8153994,9,0.050847456,N/A
1,1923307,3.8153994,9,0.050847456,N/A
1,1923685,3.8153994,9,0.050847456,N/A
1,1928533,3.8153994,9,0.050847456,N/A
1,3354251,3.8153994,9,0.050847456,N/A
1,5809699,3.8153994,9,0.050847456,N/A
1,9619761,3.8153994,9,0.050847456,N/A
1,18118686,3.8153994,9,0.050847456,N/A
2,15957954,3.8153994,9,0.050847456,N/A
2,15958418,3.8153994,9,0.050847456,N/A
2,15961003,3.8153994,9,0.050847456,N/A
3,6100786,3.8153994,9,0.050847456,N/A
3,7103243,3.8153994,9,0.050847456,N/A
3,10237157,3.8153994,9,0.050847456,N/A
3,11743689,3.8153994,9,0.050847456,N/A
4,178047,3.8153994,9,0.050847456,N/A
4,746534,3.8153994,9,0.050847456,N/A
4,2448208,3.8153994,9,0.050847456,N/A
4,17802838,3.8153994,9,0.050847456,N/A
5,25058102,3.8153994,9,0.050847456,N/A
3,12280572,3.7920985,67,0.37853107,N/A
3,17874543,3.7920985,67,0.37853107,N/A
3,21187141,3.7812645,58,0.32768363,N/A
5,24713275,3.7646134,73,0.4124294,N/A
4,7208092,3.75536,72,0.40677965,N/A
2,7414648,3.7493536,82,0.46327683,N/A
3,18623309,3.7416081,77,0.43502825,N/A
5,18624690,3.7416081,77,0.43502825,N/A
2,7422523,3.739582,34,0.19209039,N/A
5,7505336,3.739582,34,0.19209039,N/A
5,14010940,3.7261963,60,0.33898306,N/A
5,14011292,3.7261963,60,0.33898306,N/A
1,22567133,3.723681,54,0.30508474,N/A
2,827594,3.723681,54,0.30508474,N/A
5,6576107,3.723681,54,0.30508474,N/A
5,7315730,3.723681,54,0.30508474,N/A
5,24746460,3.723681,54,0.30508474,N/A
1,4420944,3.715581,27,0.15254237,N/A
1,8372448,3.715581,27,0.15254237,N/A
1,17339258,3.715581,27,0.15254237,N/A
2,1545294,3.715581,27,0.15254237,N/A
3,8214956,3.715581,27,0.15254237,N/A
5,1386564,3.715581,27,0.15254237,N/A
1,17387504,3.7001657,63,0.3559322,N/A
3,12176640,3.7001657,63,0.3559322,N/A
4,1824843,3.683239,38,0.21468927,N/A
5,11787243,3.683239,38,0.21468927,N/A
1,1922362,3.6827323,50,0.28248587,N/A
1,1946560,3.6827323,50,0.28248587,N/A
2,832105,3.6827323,50,0.28248587,N/A
2,5581712,3.6827323,50,0.28248587,N/A
5,6576012,3.6827323,50,0.28248587,N/A
1,4813985,3.6602268,46,0.259887,N/A
1,13406712,3.6602268,46,0.259887,N/A
3,9135091,3.6602268,46,0.259887,N/A
3,7835758,3.6589708,42,0.23728813,N/A
4,5768929,3.6589708,42,0.23728813,N/A
2,17098828,3.653514,88,0.49717513,N/A
5,798937,3.6464758,68,0.38418078,N/A
5,26138126,3.6464758,68,0.38418078,N/A
1,17401861,3.622396,59,0.33333334,N/A
1,18140341,3.622396,59,0.33333334,N/A
4,6026829,3.622396,59,0.33333334,N/A
5,1421906,3.622396,59,0.33333334,N/A
5,7358017,3.622396,59,0.33333334,N/A
4,10584982,3.6210413,83,0.46892655,N/A
1,13987609,3.6120796,24,0.13559322,N/A
3,5307571,3.6120796,24,0.13559322,N/A
3,5327111,3.6120796,24,0.13559322,N/A
3,8499337,3.6120796,24,0.13559322,N/A
3,15969692,3.6120796,24,0.13559322,N/A
4,11881591,3.6120796,24,0.13559322,N/A
4,12165363,3.6120796,24,0.13559322,N/A
5,7563524,3.6120796,24,0.13559322,N/A
5,14577824,3.6120796,24,0.13559322,N/A
5,18538313,3.6120796,24,0.13559322,N/A
5,22826617,3.6120796,24,0.13559322,N/A
2,1543715,3.6086376,78,0.44067797,N/A
5,18624598,3.6086376,78,0.44067797,N/A
5,18628548,3.6086376,78,0.44067797,N/A
3,300261,3.591246,31,0.17514125,N/A
3,2122194,3.591246,31,0.17514125,N/A
3,18270099,3.591246,31,0.17514125,N/A
3,19720758,3.591246,31,0.17514125,N/A
4,2510787,3.591246,31,0.17514125,N/A
4,3481182,3.591246,31,0.17514125,N/A
4,13491707,3.591246,31,0.17514125,N/A
4,17560615,3.591246,31,0.17514125,N/A
5,17969286,3.591246,31,0.17514125,N/A
1,21910175,3.5877774,83,0.46892655,N/A
1,2880509,3.5788789,7,0.03954802,N/A
1,2886504,3.5788789,7,0.03954802,N/A
1,2893313,3.5788789,7,0.03954802,N/A
1,2941103,3.5788789,7,0.03954802,N/A
1,2988787,3.5788789,7,0.03954802,N/A
1,3890244,3.5788789,7,0.03954802,N/A
1,5769126,3.5788789,7,0.03954802,N/A
1,5769163,3.5788789,7,0.03954802,N/A
1,5769298,3.5788789,7,0.03954802,N/A
1,5774586,3.5788789,7,0.03954802,N/A
1,5819048,3.5788789,7,0.03954802,N/A
1,8748088,3.5788789,7,0.03954802,N/A
1,18145026,3.5788789,7,0.03954802,N/A
1,22066650,3.5788789,7,0.03954802,N/A
1,23554797,3.5788789,7,0.03954802,N/A
2,1166256,3.5788789,7,0.03954802,N/A
3,855841,3.5788789,7,0.03954802,N/A
3,17817589,3.5788789,7,0.03954802,N/A
3,17875222,3.5788789,7,0.03954802,N/A
3,17876299,3.5788789,7,0.03954802,N/A
3,21919653,3.5788789,7,0.03954802,N/A
4,3812925,3.5788789,7,0.03954802,N/A
4,3814251,3.5788789,7,0.03954802,N/A
4,6369183,3.5788789,7,0.03954802,N/A
4,6370081,3.5788789,7,0.03954802,N/A
4,6397868,3.5788789,7,0.03954802,N/A
4,6442985,3.5788789,7,0.03954802,N/A
5,3181994,3.5788789,7,0.03954802,N/A
5,18532795,3.5788789,7,0.03954802,N/A
5,25057678,3.5788789,7,0.03954802,N/A
1,3137947,3.5744903,12,0.06779661,N/A
1,5831188,3.5744903,12,0.06779661,N/A
1,5831422,3.5744903,12,0.06779661,N/A
2,16616952,3.5744903,12,0.06779661,N/A
2,16622635,3.5744903,12,0.06779661,N/A
2,16624838,3.5744903,12,0.06779661,N/A
3,6626577,3.5744903,12,0.06779661,N/A
3,19719103,3.5744903,12,0.06779661,N/A
4,172010,3.5744903,12,0.06779661,N/A
4,1971094,3.5744903,12,0.06779661,N/A
4,17801048,3.5744903,12,0.06779661,N/A
5,2067554,3.5744903,12,0.06779661,N/A
5,7812209,3.5744903,12,0.06779661,N/A
5,9135295,3.5744903,12,0.06779661,N/A
3,643160,3.565185,65,0.36723164,N/A
1,8658003,3.5625088,3,0.016949153,N/A
1,18197758,3.5625088,3,0.016949153,N/A
1,18199648,3.5625088,3,0.016949153,N/A
1,22215835,3.5625088,3,0.016949153,N/A
1,22313333,3.5625088,3,0.016949153,N/A
1,24578739,3.5625088,3,0.016949153,N/A
3,944304,3.5625088,3,0.016949153,N/A
3,3921691,3.5625088,3,0.016949153,N/A
3,16924998,3.5625088,3,0.016949153,N/A
3,21750788,3.5625088,3,0.016949153,N/A
5,2615005,3.5625088,3,0.016949153,N/A
5,15322000,3.5625088,3,0.016949153,N/A
5,18541669,3.5625088,3,0.016949153,N/A
5,18542150,3.5625088,3,0.016949153,N/A
2,827640,3.5591369,55,0.31073445,N/A
3,7636667,3.5591369,55,0.31073445,N/A
3,10267141,3.5591369,55,0.31073445,N/A
5,14137912,3.5591369,55,0.31073445,N/A
3,12311470,3.5511885,64,0.36158192,N/A
4,13259990,3.550754,77,0.43502825,N/A
5,21128674,3.550754,77,0.43502825,N/A
5,16635074,3.5426092,71,0.40112993,N/A
1,27212731,3.5329082,21,0.118644066,N/A
2,2319567,3.5329082,21,0.118644066,N/A
2,7497992,3.5329082,21,0.118644066,N/A
3,356927,3.5329082,21,0.118644066,N/A
3,18430004,3.5329082,21,0.118644066,N/A
3,19188282,3.5329082,21,0.118644066,N/A
3,19505340,3.5329082,21,0.118644066,N/A
5,3378351,3.5329082,21,0.118644066,N/A
5,7499556,3.5329082,21,0.118644066,N/A
5,22819027,3.5329082,21,0.118644066,N/A
5,22824763,3.5329082,21,0.118644066,N/A
5,22826945,3.5329082,21,0.118644066,N/A
1,13006297,3.523275,51,0.2881356,N/A
2,18892585,3.523275,51,0.2881356,N/A
5,14007141,3.5202408,58,0.32768363,N/A
2,8190326,3.5166802,35,0.19774011,N/A
3,21189876,3.5166802,35,0.19774011,N/A
3,9641169,3.5112102,51,0.2881356,N/A
3,6282979,3.5054445,69,0.3898305,N/A
5,798776,3.5054445,69,0.3898305,N/A
1,17388065,3.4959939,84,0.47457626,N/A
1,562975,3.4899762,15,0.084745765,N/A
1,4580935,3.4899762,15,0.084745765,N/A
2,7436225,3.4899762,15,0.084745765,N/A
3,1090973,3.4899762,15,0.084745765,N/A
3,10215428,3.4899762,15,0.084745765,N/A
3,22161549,3.4899762,15,0.084745765,N/A
3,22172541,3.4899762,15,0.084745765,N/A
4,720108,3.4899762,15,0.084745765,N/A
4,720778,3.4899762,15,0.084745765,N/A
5,2129593,3.4899762,15,0.084745765,N/A
5,2641186,3.4899762,15,0.084745765,N/A
5,3332488,3.4899762,15,0.084745765,N/A
5,6996801,3.4899762,15,0.084745765,N/A
5,14591640,3.4899762,15,0.084745765,N/A
5,26048440,3.4899762,15,0.084745765,N/A
5,26050510,3.4899762,15,0.084745765,N/A
1,5043166,3.4868584,18,0.10169491,N/A
1,7276212,3.4868584,18,0.10169491,N/A
1,20754891,3.4868584,18,0.10169491,N/A
1,27219998,3.4868584,18,0.10169491,N/A
2,94510,3.4868584,18,0.10169491,N/A
2,5714178,3.4868584,18,0.10169491,N/A
3,6669405,3.4868584,18,0.10169491,N/A
5,121522,3.4868584,18,0.10169491,N/A
5,1033526,3.4868584,18,0.10169491,N/A
5,2110969,3.4868584,18,0.10169491,N/A
5,3367835,3.4868584,18,0.10169491,N/A
5,18601659,3.4868584,18,0.10169491,N/A
5,18799342,3.4868584,18,0.10169491,N/A
5,18799640,3.4868584,18,0.10169491,N/A
5,25031399,3.4868584,18,0.10169491,N/A
5,25091269,3.4868584,18,0.10169491,N/A
5,26085785,3.4868584,18,0.10169491,N/A
5,797844,3.482114,74,0.4180791,N/A
5,7706747,3.482114,74,0.4180791,N/A
1,13405660,3.480052,47,0.26553673,N/A
1,13409752,3.480052,47,0.26553673,N/A
2,7435223,3.480052,47,0.26553673,N/A
2,11496945,3.480052,47,0.26553673,N/A
3,21190095,3.480052,47,0.26553673,N/A
5,5647287,3.480052,47,0.26553673,N/A
5,5857249,3.480052,47,0.26553673,N/A
1,12490716,3.4792957,79,0.4463277,N/A
3,9115457,3.4792957,79,0.4463277,N/A
1,1493872,3.4783633,39,0.22033899,N/A
2,256358,3.4783633,39,0.22033899,N/A
3,2474945,3.4783633,39,0.22033899,N/A
3,2668100,3.4783633,39,0.22033899,N/A
3,2668962,3.4783633,39,0.22033899,N/A
3,9135253,3.4783633,39,0.22033899,N/A
4,2518236,3.4783633,39,0.22033899,N/A
5,1926597,3.4783633,39,0.22033899,N/A
5,5652339,3.4783633,39,0.22033899,N/A
3,12318859,3.4717479,82,0.46327683,N/A
1,18140047,3.4693174,60,0.33898306,N/A
1,18145678,3.4693174,60,0.33898306,N/A
5,5838923,3.4693174,60,0.33898306,N/A
1,1413353,3.4679384,43,0.24293785,N/A
3,5333589,3.4679384,43,0.24293785,N/A
3,15275537,3.4679384,43,0.24293785,N/A
4,6438966,3.4679384,43,0.24293785,N/A
