"name","transcript_start","transcript_end","strand","chromosome","short_description","Curator_summary","Locus"
"AT1G02065.1",365209,367340,"+","1","squamosa promoter binding protein-like 8","Encodes an SBP-box gene, a member of the SPL gene family. Mutants are affected in micro- and megasporogenesis, trichome formation on sepals, and stamen filament elongation.","AT1G02065"
"AT1G02070.1",370257,370967,"-","1",NA,NA,"AT1G02070"
"AT1G02074.1",372064,372210,"+","1",NA,NA,"AT1G02074"
"AT1G02080.1",373335,386847,"+","1","transcription regulators",NA,"AT1G02080"
"AT1G02090.1",387277,389647,"-","1","Proteasome component (PCI) domain protein","encodes a phosphoprotein that is a subunit of the COP9 signalosome. Mutants exhibit constitutive photomorphogenic phenotype.","AT1G02090"
"AT1G02100.3",389823,392811,"+","1","Leucine carboxyl methyltransferase",NA,"AT1G02100"
"AT1G02110.1",392831,395528,"+","1","Protein of unknown function (DUF630 and DUF632)",NA,"AT1G02110"
"AT1G02120.1",395761,399897,"+","1","GRAM domain family protein","Encodes VAD1 (Vascular Associated Death1), a regulator of cell death and defense responses in vascular tissues.  VAD1 is a putative membrane associated protein and contains a GRAM domain.  vad1 is a lesion mimic mutant that exhibits light conditional appearance of propagative HR (hypersensitive response)-like lesions along the vascular system.","AT1G02120"
"AT1G02130.1",400035,401882,"-","1","RAS 5","Belongs to the Rab1 GTPase subfamily. This small GTP-binding protein is required in ER to Golgi transportation.","AT1G02130"
"AT1G02140.1",403190,404456,"-","1","mago nashi family protein","Encodes a homologue of the exon junction complex (EJC) component MAGO that participates in intron-mediated enhancement of gene expression.","AT1G02140"
"AT1G02145.3",404600,408619,"+","1","homolog of asparagine-linked glycosylation 12",NA,"AT1G02145"
"AT1G02150.1",408622,410611,"+","1","Tetratricopeptide repeat (TPR)-like superfamily protein",NA,"AT1G02150"
"AT1G02160.2",410748,411597,"+","1","Cox19 family protein (CHCH motif)",NA,"AT1G02160"
"AT1G02170.1",411779,413554,"+","1","metacaspase 1","Encodes a type I metacaspase. Two Arabidopsis metacaspases, AT1G02170 (MC1) and AT4G25110 (MC2)  antagonistically control programmed cell death in Arabidopsis. MC1 is a positive regulator of cell death and requires conserved caspase-like putative catalytic residues for its function. MC2 negatively regulates cell death. This function is independent of the putative catalytic residues.  A third type I Arabidopsis metacaspase is MC3 (AT5g64240).","AT1G02170"
"AT1G02180.1",413522,414645,"-","1","ferredoxin-related",NA,"AT1G02180"
"AT1G02190.1",415079,418010,"+","1","Fatty acid hydroxylase superfamily",NA,"AT1G02190"
"AT1G02205.3",418748,422258,"+","1","Fatty acid hydroxylase superfamily","Expression of the CER1 gene associated with production of stem epicuticular wax and pollen fertility. Biochemical studies showed that cer1 mutants are blocked in the conversion of stem wax C30 aldehydes to C29 alkanes, and they also lack the secondary alcohols and ketones. These suggested the CER1 protein is an aldehyde decarbonylase, but the exact molecular function of this protein remains to be determined.","AT1G02205"
"AT1G02210.1",427548,427811,"-","1","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein",NA,"AT1G02210"
"AT1G02220.1",428814,430647,"-","1","NAC domain containing protein 3",NA,"AT1G02220"
"AT1G02230.1",435174,436776,"-","1","NAC domain containing protein 4",NA,"AT1G02230"
"AT1G02250.1",437951,439559,"-","1","NAC domain containing protein 5",NA,"AT1G02250"
"AT1G02260.1",440441,442877,"-","1","Divalent ion symporter",NA,"AT1G02260"
"AT1G02270.1",443149,446235,"-","1","Calcium-binding endonuclease/exonuclease/phosphatase family",NA,"AT1G02270"
"AT1G02280.1",448463,450425,"-","1","translocon at the outer envelope membrane of chloroplasts 33","Encodes a GTP-binding GTP-ase. Component of the chloroplast protein import machinery. Required for import of POR B into plastids. Toc33 phosphorylation may not play an important role in vivo.","AT1G02280"
"AT1G02290.1",450527,452737,"-","1",NA,NA,"AT1G02290"
"AT1G02300.1",453288,455463,"+","1","Cysteine proteinases superfamily protein",NA,"AT1G02300"
"AT1G02305.1",455688,458164,"+","1","Cysteine proteinases superfamily protein",NA,"AT1G02305"
"AT1G02310.1",458133,460696,"-","1","Glycosyl hydrolase superfamily protein",NA,"AT1G02310"
"AT1G02320.1",461828,461974,"+","1",NA,NA,"AT1G02320"
"AT1G02330.1",462075,463612,"-","1",NA,NA,"AT1G02330"
"AT1G02335.1",463855,464924,"-","1","germin-like protein subfamily 2 member 2 precursor","Encodes a plasodesmata-located protein involved in regulating primary root growth by controlling phloem-mediated allocation of resources between the primary and lateral root meristems.","AT1G02335"
"AT1G02340.1",465718,467844,"-","1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","Encodes a light-inducible, nuclear bHLH protein involved in phytochrome signaling. Mutants exhibit a long-hypocotyl phenotype only under far-red light but not under red light and are defective in other phytochrome A-related responses. Mutants also show blue light response defects. HFR1 interacts with COP1, co-localizes to the nuclear specks and is ubiquinated by COP1.","AT1G02340"
"AT1G02350.1",469818,470693,"+","1","protoporphyrinogen oxidase-related",NA,"AT1G02350"
"AT1G02360.1",471990,473160,"-","1","Chitinase family protein",NA,"AT1G02360"
"AT1G02370.1",474500,476511,"+","1","Tetratricopeptide repeat (TPR)-like superfamily protein",NA,"AT1G02370"
"AT1G02380.1",477000,478971,"+","1",NA,NA,"AT1G02380"
"AT1G02390.1",480852,483292,"+","1","glycerol-3-phosphate acyltransferase 2","putative sn-glycerol-3-phosphate 2-O-acyltransferase","AT1G02390"
"AT1G02391.1",483764,483919,"-","1",NA,NA,"AT1G02391"
"AT1G02400.1",486801,489577,"+","1","gibberellin 2-oxidase 6","Encodes a gibberellin 2-oxidase that acts on C19 gibberellins but not C20 gibberellins.","AT1G02400"
"AT1G02405.1",489979,490505,"-","1","proline-rich family protein",NA,"AT1G02405"
"AT1G02410.1",490925,492926,"+","1","cytochrome c oxidase assembly protein CtaG / Cox11 family",NA,"AT1G02410"
"AT1G02420.1",493683,495158,"+","1","Pentatricopeptide repeat (PPR) superfamily protein",NA,"AT1G02420"
"AT1G02430.1",495050,496062,"-","1","ADP-ribosylation factor D1B","A member of ARF GTPase family. A thaliana has 21 members of this family, known to be essential for vesicle coating and uncoating and functions in GTP-binding. Gene encoding ADP-ribosylation factor and similar to other ARFs and ARF-like proteins.","AT1G02430"
"AT1G02440.1",496586,497479,"-","1","ADP-ribosylation factor D1A","A member of ARF GTPase family. A thaliana has 21 members of this family, known to be essential for vesicle coating and uncoating and functions in GTP-binding. Gene encoding ADP-ribosylation factor and similar to other ARFs and ARF-like proteins.","AT1G02440"
"AT1G02450.1",497976,498516,"-","1","NIM1-interacting 1","NIMIN1 modulates PR gene expression according the following model: NPR1 forms a ternary complex with NIMIN1 and TGA  factors upon SAR induction that binds to a positive regulatory cis-element of the PR-1 promoter, termed LS7. This leads to PR-1 gene induction. NIMIN1 decreases transcriptional activation, possibly through its EAR motif, which results in fine-tuning of PR-1 gene expression.","AT1G02450"
"AT1G02460.1",504673,507204,"-","1","Pectin lyase-like superfamily protein",NA,"AT1G02460"
"AT1G02470.2",511765,513611,"-","1","Polyketide cyclase/dehydrase and lipid transport superfamily protein",NA,"AT1G02470"
"AT1G02475.1",513843,515404,"-","1","Polyketide cyclase/dehydrase and lipid transport superfamily protein",NA,"AT1G02475"
"AT1G02490.1",516618,516734,"+","1",NA,NA,"AT1G02490"
"AT1G02500.1",518251,520437,"+","1","S-adenosylmethionine synthetase 1","encodes a S-adenosylmethionine synthetase. SAM1 is regulated by protein S-nitrosylation. The covalent binding of nitric oxide (NO) to the Cys114 residue inhibits the enzyme activity.","AT1G02500"
"AT1G02510.1",520498,521668,"-","1","Outward rectifying potassium channel protein","Encodes AtTPK4, a member of the Arabidopsis thaliana K+ channel family of AtTPK/KCO proteins.  AtTPK4 is targeted to the plasma membrane.  In contrast other members of the AtTPK proteins are located in tonoplast.  AtTPK4 forms a voltage-independent K+ channel that is blocked by extracellular calcium ions.  May form homomeric ion channels in vivo.","AT1G02510"
"AT1G02520.1",523651,528745,"+","1","P-glycoprotein 11","Encodes an ATP-binding cassette (ABC) transporter.  Expressed in the vascular tissue of primary stem.","AT1G02520"
"AT1G02530.1",529795,534677,"+","1","P-glycoprotein 12",NA,"AT1G02530"
"AT1G02540.1",534827,535699,"-","1",NA,NA,"AT1G02540"
"AT1G02550.1",536483,537211,"+","1","Plant invertase/pectin methylesterase inhibitor superfamily protein",NA,"AT1G02550"
"AT1G02560.1",537860,540109,"+","1","nuclear encoded CLP protease 5","One of several nuclear-encoded ClpPs (caseinolytic protease). Contains a highly conserved catalytic triad of Ser-type proteases (Ser-His-Asp). The name reflects nomenclature described in Adam et. al (2001).","AT1G02560"
"AT1G02570.1",541335,542240,"+","1",NA,NA,"AT1G02570"
"AT1G02575.1",543110,544007,"+","1",NA,NA,"AT1G02575"
"AT1G02580.1",544783,549202,"+","1","SET domain-containing protein","Encodes a putative transcription factor MEDEA (MEA) that negatively regulates seed development in the absence of fertilization. Mutations in this locus result in embryo lethality.  MEA is a Polycomb group gene that is imprinted in the endosperm.  The maternal allele is expressed and the paternal allele is silent.  MEA is controlled by DEMETER (DME), a DNA glycosylase required to activate MEA expression, and METHYLTRANSFERASE I (MET1), which maintains CG methylation at the MEA locus. MEA is  involved in the negative regulation of its own imprinted gene expression; the effect is not only allele-specific but also  dynamically regulated during seed development. In the ovule, the MEA transcripts  are accumulated at their highest level before fertilization  and gradually decrease after fertilization","AT1G02580"
"AT1G02590.1",552138,552761,"-","1","Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding protein",NA,"AT1G02590"
"AT1G02610.1",553050,555994,"-","1","RING/FYVE/PHD zinc finger superfamily protein",NA,"AT1G02610"
"AT1G02620.1",557092,557986,"+","1","Ras-related small GTP-binding family protein",NA,"AT1G02620"
"AT1G02630.1",560610,562424,"-","1","Nucleoside transporter family protein",NA,"AT1G02630"
"AT1G02640.1",564205,567769,"+","1","beta-xylosidase 2","encodes a protein similar to a beta-xylosidase located in the extracellular matrix. This is a member of glycosyl hydrolase family 3 and has six other closely related members.","AT1G02640"
"AT1G02650.1",568704,570418,"+","1","Tetratricopeptide repeat (TPR)-like superfamily protein",NA,"AT1G02650"
"AT1G02660.1",571955,574981,"-","1","alpha/beta-Hydrolases superfamily protein",NA,"AT1G02660"
"AT1G02670.1",576046,580299,"+","1","P-loop containing nucleoside triphosphate hydrolases superfamily protein",NA,"AT1G02670"
"AT1G02680.1",580625,582310,"+","1","TBP-associated factor 13","Encodes a TBP-Associated Factor (TAF) that functions together with PRC2 in transcriptional regulation during seed development.","AT1G02680"
"AT1G02690.2",584260,587219,"+","1","importin alpha isoform 6","Putative importin alpha isoform. When overexpressed can rescue the impa-4 decreased transformation susceptibility phenotype.","AT1G02690"
"AT1G02700.1",588329,589480,"+","1",NA,NA,"AT1G02700"
"AT1G02710.1",589706,589996,"-","1","glycine-rich protein",NA,"AT1G02710"
"AT1G02720.1",591826,594236,"+","1","galacturonosyltransferase 5","Encodes a protein with  putative galacturonosyltransferase activity.","AT1G02720"
"AT1G02730.1",594573,598657,"-","1","cellulose synthase-like D5","Encodes a gene similar to cellulose synthase. Knock-out mutant has reduced growth, reduced xylan level and reduced xylan synthase activity in stems.","AT1G02730"
"AT1G02740.1",599416,602038,"-","1","MRG family protein",NA,"AT1G02740"
"AT1G02750.1",602497,604292,"+","1","Drought-responsive family protein",NA,"AT1G02750"
"AT1G02770.1",604873,606693,"-","1","Protein of unknown function (DUF626)",NA,"AT1G02770"
"AT1G02780.1",607808,609465,"-","1","Ribosomal protein L19e family protein",NA,"AT1G02780"
"AT1G02790.1",610391,612324,"-","1","polygalacturonase 4","encodes a exopolygalacturonase.","AT1G02790"
