"chromosome"	"transcript_start"	"transcript_end"	"strand"	"name"	"short_description"
1	201944	206743	+	LOC_Os01g01400	"expressed protein"
1	205710	209606	-	LOC_Os01g01410	"TKL_IRAK_C-LEC.1 - TKL_IRAK_C-LEC has homology to C-type lectin receptors, expressed"
1	209771	214229	+	LOC_Os01g01420	"expressed protein"
1	216126	217664	+	LOC_Os01g01430	"No apical meristem protein, putative, expressed"
1	219011	220776	-	LOC_Os01g01440	"expressed protein"
1	226897	229331	+	LOC_Os01g01450	"stress responsive protein, putative, expressed"
1	241641	243468	+	LOC_Os01g01470	"no apical meristem protein, putative, expressed"
1	248706	256878	-	LOC_Os01g01484	"light-mediated development protein DET1, putative, expressed"
1	259607	259909	+	LOC_Os01g01500	"expressed protein"
1	261504	268471	+	LOC_Os01g01510	"sas10/Utp3 family protein, expressed"
1	270145	275084	-	LOC_Os01g01520	"transferase family protein, putative, expressed"
1	288372	292296	+	LOC_Os01g01570	"kinesin heavy chain, putative, expressed"
1	292844	293535	+	LOC_Os01g01580	"expressed protein"
1	293648	294536	+	LOC_Os01g01590	"hypothetical protein"
1	303103	306800	+	LOC_Os01g01600	"ethylene-responsive protein related, putative, expressed"
1	306869	308842	-	LOC_Os01g01610	"IscA-like iron-sulfur assembly protein, mitochondrial precursor, putative, expressed"
1	309459	313170	-	LOC_Os01g01620	"kinase, pfkB family, putative, expressed"
1	319713	322248	+	LOC_Os01g01640	"Rer1 protein, putative, expressed"
1	322556	323948	-	LOC_Os01g01650	"isoflavone reductase homolog IRL, putative, expressed"
1	327128	328451	-	LOC_Os01g01660	"isoflavone reductase, putative, expressed"
1	330238	332345	-	LOC_Os01g01670	"expressed protein"
1	332667	333689	-	LOC_Os01g01680	"expressed protein"
1	335809	371191	+	LOC_Os01g01689	"phosphatidylinositol 3- and 4-kinase family protein, expressed"
1	371831	374470	+	LOC_Os01g01700	"anaphase-promoting complex subunit 11, putative, expressed"
1	374728	380716	-	LOC_Os01g01710	"1-deoxy-D-xylulose 5-phosphate reductoisomerase, chloroplast precursor, putative, expressed"
1	383047	386701	-	LOC_Os01g01720	"pex14, putative, expressed"
1	390051	390623	+	LOC_Os01g01730	"serine/arginine repetitive matrix protein 2, putative, expressed"
1	392081	396651	-	LOC_Os01g01740	"protein kinase domain containing protein, expressed"
1	403692	404402	-	LOC_Os01g01760	"expressed protein"
1	409700	410818	+	LOC_Os01g01770	"ZOS1-01 - C2H2 zinc finger protein, expressed"
1	412579	415830	+	LOC_Os01g01780	"exostosin family protein, putative, expressed"
1	416241	420497	-	LOC_Os01g01790	"expressed protein"
1	422462	431692	+	LOC_Os01g01800	"expressed protein"
1	432435	432752	-	LOC_Os01g01810	"expressed protein"
1	437613	449137	+	LOC_Os01g01830	"OsPOP1 - Putative Prolyl Oligopeptidase homologue, expressed"
1	455512	460716	+	LOC_Os01g01840	"helix-loop-helix DNA-binding domain containing protein, expressed"
1	478325	481166	+	LOC_Os01g01870	"helix-loop-helix DNA-binding domain containing protein, expressed"
1	482332	482956	+	LOC_Os01g01880	"expressed protein"
1	483885	486492	+	LOC_Os01g01890	"expressed protein"
1	496066	497368	+	LOC_Os01g01910	"expressed protein"
1	498454	506264	+	LOC_Os01g01920	"HD domain containing protein 2, putative, expressed"
1	507270	509225	+	LOC_Os01g01925	"expressed protein"
1	509387	510112	+	LOC_Os01g01930	"expressed protein"
1	510752	512159	+	LOC_Os01g01940	"expressed protein"
1	512840	513502	+	LOC_Os01g01950	"expressed protein"
1	513890	522448	-	LOC_Os01g01960	"transcriptional repressor, putative, expressed"
1	524579	528002	-	LOC_Os01g01970	"expressed protein"
1	529367	530008	-	LOC_Os01g01980	"expressed protein"
1	533786	534139	+	LOC_Os01g01990	"expressed protein"
1	537710	543355	+	LOC_Os01g02000	"phosphate transporter 1, putative, expressed"
1	542987	544510	-	LOC_Os01g02010	"expressed protein"
1	549108	553287	+	LOC_Os01g02020	"acetyl-CoA acetyltransferase, cytosolic, putative, expressed"
1	562056	572138	-	LOC_Os01g02050	"phosphoenolpyruvate carboxylase, putative, expressed"
1	576443	579569	-	LOC_Os01g02060	"TOO MANY MOUTHS precursor, putative, expressed"
1	585963	586445	+	LOC_Os01g02070	"invertase/pectin methylesterase inhibitor family protein, putative, expressed"
1	586414	587780	-	LOC_Os01g02080	"peptidyl-prolyl cis-trans isomerase, putative, expressed"
1	588863	593759	+	LOC_Os01g02090	"expressed protein"
1	603643	605643	-	LOC_Os01g02110	"helix-loop-helix DNA-binding domain containing protein, expressed"
1	612564	615650	+	LOC_Os01g02120	"osMFT2  MFT-Like2 homologous to Mother of FT and TFL1  gene; contains Pfam profile PF01161: Phosphatidylethanolamine-binding protein, expressed"
1	620572	621516	-	LOC_Os01g02130	"expressed protein"
1	624087	624613	+	LOC_Os01g02139	"expressed protein"
1	625976	627024	+	LOC_Os01g02150	"sulfated surface glycoprotein 185 precursor, putative, expressed"
1	632093	632913	+	LOC_Os01g02160	"hydroxyproline-rich glycoprotein family protein, putative, expressed"
1	634011	639309	-	LOC_Os01g02170	"expressed protein"
1	640588	644269	-	LOC_Os01g02180	"expressed protein"
1	645574	646723	-	LOC_Os01g02190	"aquaporin protein, putative, expressed"
1	648128	651881	-	LOC_Os01g02200	"armadillo/beta-catenin repeat family protein, putative, expressed"
1	689792	694013	+	LOC_Os01g02250	"RGA-1, putative, expressed"
1	700533	705670	-	LOC_Os01g02270	"expressed protein"
1	707340	714322	+	LOC_Os01g02280	"Leucine Rich Repeat family protein, expressed"
1	720629	723317	-	LOC_Os01g02290	"Ser/Thr receptor-like kinase, putative, expressed"
1	723693	726321	+	LOC_Os01g02300	"receptor kinase ORK10, putative, expressed"
1	728977	730930	+	LOC_Os01g02310	"expressed protein"
1	731149	738020	-	LOC_Os01g02320	"protein kinase domain containing protein, expressed"
1	738281	741794	-	LOC_Os01g02334	"expressed protein"
1	742272	745156	-	LOC_Os01g02350	"receptor-like kinase ARK1AS, putative, expressed"
1	745452	748945	+	LOC_Os01g02360	"resistance-related receptor-like kinase, putative, expressed"
1	752080	754992	-	LOC_Os01g02370	"receptor-like kinase ARK1AS, putative, expressed"
1	767169	769681	-	LOC_Os01g02390	"protein kinase domain containing protein, expressed"
1	770332	773851	+	LOC_Os01g02400	"protein kinase domain containing protein, expressed"
1	774727	779237	-	LOC_Os01g02410	"protein kinase domain containing protein, expressed"
1	781442	784424	+	LOC_Os01g02420	"protein kinase domain containing protein, expressed"
1	786171	788619	-	LOC_Os01g02430	"TAK14, putative, expressed"
1	789967	792411	+	LOC_Os01g02440	"Ser/Thr receptor-like kinase, putative, expressed"
1	794499	795413	+	LOC_Os01g02460	"receptor kinase LRK10, putative, expressed"
1	796842	797533	+	LOC_Os01g02470	"expressed protein"
1	804084	806932	-	LOC_Os01g02490	"expressed protein"
1	807850	809721	+	LOC_Os01g02500	"glutamyl-tRNA amidotransferase, putative, expressed"
1	839809	842757	-	LOC_Os01g02550	"protein kinase domain containing protein, expressed"
1	843530	847454	+	LOC_Os01g02560	"Ser/Thr receptor-like kinase, putative, expressed"
1	852249	854568	-	LOC_Os01g02570	"protein kinase domain containing protein, expressed"
1	857957	860583	-	LOC_Os01g02580	"protein kinase domain containing protein, expressed"
1	862579	865253	-	LOC_Os01g02590	"receptor-like kinase, putative, expressed"
1	865966	869063	+	LOC_Os01g02600	"Ser/Thr receptor-like kinase, putative, expressed"
1	870318	874817	-	LOC_Os01g02610	"protein kinase domain containing protein, expressed"
1	911735	914246	-	LOC_Os01g02680	"protein kinase domain containing protein, expressed"
1	915639	919674	+	LOC_Os01g02690	"resistance-related receptor-like kinase, putative, expressed"
1	920992	923630	-	LOC_Os01g02700	"protein kinase domain containing protein, expressed"
1	924451	925175	+	LOC_Os01g02710	"LRk-type protein, putative, expressed"
1	929883	934914	-	LOC_Os01g02720	"elongation factor Tu, putative, expressed"
1	935574	938367	-	LOC_Os01g02730	"TAK14, putative, expressed"
1	954075	956817	+	LOC_Os01g02750	"protein kinase domain containing protein, expressed"
1	957907	960626	-	LOC_Os01g02760	"receptor-like kinase, putative, expressed"
1	961681	965151	+	LOC_Os01g02770	"resistance-related receptor-like kinase, putative, expressed"
1	969308	973327	-	LOC_Os01g02780	"TAK33, putative, expressed"
1	976766	980431	+	LOC_Os01g02790	"protein kinase domain containing protein, expressed"
1	984301	986760	-	LOC_Os01g02800	"receptor-like kinase ARK1AS, putative, expressed"
1	987591	990647	+	LOC_Os01g02810	"resistance-related receptor-like kinase, putative, expressed"
1	994710	997262	-	LOC_Os01g02830	"receptor-like kinase ARK1AS, putative, expressed"
1	997963	1000997	+	LOC_Os01g02840	"resistance-related receptor-like kinase, putative, expressed"
1	1001292	1001770	-	LOC_Os01g02850	"expressed protein"
1	1002459	1007068	-	LOC_Os01g02860	"expressed protein"
1	1010259	1012410	+	LOC_Os01g02870	"auxin-induced protein 5NG4, putative, expressed"
1	1016065	1019545	+	LOC_Os01g02880	"fructose-bisphospate aldolase isozyme, putative, expressed"
1	1046604	1053166	+	LOC_Os01g02890	"phosphatidylserine synthase, putative, expressed"
1	1057137	1059856	-	LOC_Os01g02900	"glycosyltransferase, putative, expressed"
1	1066448	1069826	-	LOC_Os01g02910	"glycosyltransferase, putative, expressed"
1	1071962	1075030	-	LOC_Os01g02920	"glycosyltransferase protein, putative, expressed"
1	1078511	1081702	-	LOC_Os01g02930	"glycosyltransferase protein, putative, expressed"
1	1089743	1093528	-	LOC_Os01g02940	"glycosyltransferase protein, putative, expressed"
1	1097580	1098942	-	LOC_Os01g02950	"expressed protein"
1	1103782	1106890	+	LOC_Os01g02960	"expressed protein"
1	1120319	1126749	+	LOC_Os01g02980	"expressed protein"
1	1137241	1137624	-	LOC_Os01g02990	"expressed protein"
1	1143557	1144497	-	LOC_Os01g03010	"expressed protein"
1	1145829	1155094	-	LOC_Os01g03020	"tRNA synthetase class I, putative, expressed"
1	1155213	1158601	-	LOC_Os01g03030	"alanyl-tRNA synthetase, putative, expressed"
1	1160152	1164635	-	LOC_Os01g03040	"expressed protein"
1	1165737	1168415	+	LOC_Os01g03050	"fruit protein PKIWI502, putative, expressed"
1	1168647	1171130	-	LOC_Os01g03060	"splicing factor, putative, expressed"
1	1181158	1182158	+	LOC_Os01g03080	"expressed protein"
1	1183394	1186707	+	LOC_Os01g03090	"methyltransferase, putative, expressed"
1	1186260	1191013	-	LOC_Os01g03100	"protein binding protein, putative, expressed"
1	1198687	1203506	-	LOC_Os01g03110	"expressed protein"
1	1217006	1218122	-	LOC_Os01g03130	"expressed protein"
1	1222905	1230507	-	LOC_Os01g03144	"white-brown complex homolog protein 7, putative, expressed"
1	1232473	1236942	+	LOC_Os01g03160	"xylosyltransferase, putative, expressed"
1	1238623	1242351	+	LOC_Os01g03170	"seven in absentia protein family protein, expressed"
1	1254028	1255635	+	LOC_Os01g03190	"expressed protein"
1	1264356	1265273	+	LOC_Os01g03210	"expressed protein"
1	1301527	1302921	+	LOC_Os01g03220	"expressed protein"
1	1313236	1314274	+	LOC_Os01g03240	"conserved hypothetical protein"
1	1315268	1315477	+	LOC_Os01g03250	"hypothetical protein"
1	1315823	1319863	-	LOC_Os01g03260	"expressed protein"
1	1328172	1329169	+	LOC_Os01g03270	"expressed protein"
1	1330804	1332398	-	LOC_Os01g03280	"hypothetical protein"
1	1333752	1334739	-	LOC_Os01g03290	"seven in absentia protein family domain containing protein, expressed"
1	1335864	1337407	+	LOC_Os01g03300	"seven in absentia protein family protein, expressed"
1	1338229	1339139	-	LOC_Os01g03310	"BBTI1 - Bowman-Birk type bran trypsin inhibitor precursor, expressed"
1	1341319	1342277	-	LOC_Os01g03320	"BBTI2 - Bowman-Birk type bran trypsin inhibitor precursor, expressed"
1	1344557	1346419	-	LOC_Os01g03330	"BBTI3 - Bowman-Birk type bran trypsin inhibitor precursor, expressed"
1	1347567	1348786	-	LOC_Os01g03340	"BBTI4 - Bowman-Birk type bran trypsin inhibitor precursor, expressed"
1	1350820	1351107	+	LOC_Os01g03350	"expressed protein"
1	1353629	1354802	-	LOC_Os01g03360	"BBTI5 - Bowman-Birk type bran trypsin inhibitor precursor, expressed"
1	1356601	1361257	-	LOC_Os01g03370	"senescence-induced receptor-like serine/threonine-protein kinase precursor, putative, expressed"
1	1363516	1364303	-	LOC_Os01g03380	"BBTI6 - Bowman-Birk type bran trypsin inhibitor precursor, putative, expressed"
1	1365508	1366503	-	LOC_Os01g03390	"BBTI7 - Bowman-Birk type bran trypsin inhibitor precursor, expressed"
1	1368891	1369792	+	LOC_Os01g03400	"E3 ubiquitin-protein ligase SINA-like 2, putative"
1	1372963	1374138	+	LOC_Os01g03410	"ubiquitin, putative, expressed"
1	1375169	1377242	+	LOC_Os01g03420	"seven in absentia protein family protein, putative, expressed"
1	1379691	1382143	+	LOC_Os01g03429	"expressed protein"
1	1395980	1396769	-	LOC_Os01g03464	"expressed protein"
1	1401504	1403598	-	LOC_Os01g03480	"expressed protein"
1	1404155	1407187	+	LOC_Os01g03490	"heavy-metal-associated domain-containing protein, putative, expressed"
1	1410987	1413093	-	LOC_Os01g03500	"expressed protein"
1	1413839	1419043	+	LOC_Os01g03510	"WD domain, G-beta repeat domain containing protein, expressed"
1	1421693	1428049	+	LOC_Os01g03520	"ubiquitin conjugating enzyme protein, putative, expressed"
1	1433033	1436811	+	LOC_Os01g03530	"multicopper oxidase domain containing protein, expressed"
1	1437163	1445689	+	LOC_Os01g03549	"multi-copper oxidase type I family protein, putative, expressed"
1	1446849	1450473	+	LOC_Os01g03570	"transcription factor X1, putative, expressed"
1	1486400	1488897	+	LOC_Os01g03620	"multicopper oxidase domain containing protein, expressed"
1	1490473	1492684	-	LOC_Os01g03630	"multicopper oxidase domain containing protein, expressed"
1	1497240	1500609	-	LOC_Os01g03640	"multicopper oxidase domain containing protein, expressed"
1	1503993	1508057	-	LOC_Os01g03650	"sufB/sufD domain containing protein, putative, expressed"
1	1508235	1512752	+	LOC_Os01g03660	""
1	1513136	1514467	+	LOC_Os01g03670	"dihydroflavonol-4-reductase, putative, expressed"
1	1515837	1516832	+	LOC_Os01g03680	"BBTI8 - Bowman-Birk type bran trypsin inhibitor precursor, expressed"
1	1518245	1521644	+	LOC_Os01g03690	"TKL_IRAK_DUF26-lg.1 - DUF26 kinases have homology to DUF26 containing loci, expressed"
1	1534135	1539627	+	LOC_Os01g03710	"mannose-6-phosphate isomerase, putative, expressed"
1	1549229	1551011	-	LOC_Os01g03720	"MYB family transcription factor, putative, expressed"
1	1566138	1569472	+	LOC_Os01g03730	"nuclease PA3, putative, expressed"
1	1562612	1566554	-	LOC_Os01g03740	"nuclease PA3, putative, expressed"
1	1569585	1570939	-	LOC_Os01g03750	"expressed protein"
1	1571420	1576753	-	LOC_Os01g03760	"expressed protein"
1	1580843	1582345	-	LOC_Os01g03770	"hypothetical protein"
1	1597486	1598510	-	LOC_Os01g03810	"expressed protein"
1	1597486	1604610	+	LOC_Os01g03820	"C2 domain containing protein, putative, expressed"
1	1625159	1626771	+	LOC_Os01g03840	"ZOS1-02 - C2H2 zinc finger protein, expressed"
1	1641234	1644237	-	LOC_Os01g03870	"expressed protein"
1	1657315	1658388	+	LOC_Os01g03890	"DUF260 domain containing protein, putative, expressed"
1	1670322	1670997	-	LOC_Os01g03900	"expressed protein"
1	1673010	1680632	-	LOC_Os01g03914	"cation efflux family protein, putative, expressed"
1	1681410	1681813	-	LOC_Os01g03930	"expressed protein"
1	1684741	1685880	-	LOC_Os01g03940	"expressed protein"
1	1698203	1703090	+	LOC_Os01g03950	"glycosyl hydrolase, family 31, putative, expressed"
1	1707539	1707939	+	LOC_Os01g03960	"expressed protein"
1	1710239	1710550	-	LOC_Os01g03970	"expressed protein"
1	1711930	1712947	-	LOC_Os01g03980	"expressed protein"
1	1718965	1719370	+	LOC_Os01g03989	"expressed protein"
1	1731553	1731945	-	LOC_Os01g04000	"hypothetical protein"
1	1733867	1738307	-	LOC_Os01g04005	"expressed protein"
1	1738965	1739492	+	LOC_Os01g04010	"expressed protein"
1	1746416	1748549	+	LOC_Os01g04020	"AP2 domain containing protein, expressed"
1	1754332	1757728	+	LOC_Os01g04030	"signal peptidase complex subunit 3, putative, expressed"
1	1757812	1758730	-	LOC_Os01g04040	"BBTI11 - Bowman-Birk type bran trypsin inhibitor precursor, putative, expressed"
1	1760140	1761135	-	LOC_Os01g04050	"BBTI12 - Bowman-Birk type bran trypsin inhibitor precursor, expressed"
1	1765034	1768669	+	LOC_Os01g04070	"verticillium wilt disease resistance protein, putative, expressed"
1	1771369	1772410	-	LOC_Os01g04080	"expressed protein"
1	1775917	1778105	-	LOC_Os01g04090	"expressed protein"
1	1781075	1782386	+	LOC_Os01g04100	"expressed protein"
1	1787870	1791498	-	LOC_Os01g04110	"mediator of RNA polymerase II transcription subunit 22, putative, expressed"
1	1801924	1806267	-	LOC_Os01g04120	"ZOS1-03 - C2H2 zinc finger protein, expressed"
1	1815769	1817554	-	LOC_Os01g04130	"peptidyl-tRNA hydrolase, mitochondrial precursor protein, putative, expressed"
1	1834110	1837733	+	LOC_Os01g04160	"expressed protein"
1	1838170	1839194	-	LOC_Os01g04170	"expressed protein"
1	1843814	1849186	+	LOC_Os01g04190	"transporter family protein, putative, expressed"
1	1849834	1856303	+	LOC_Os01g04200	"metallo-beta-lactamase family protein, putative, expressed"
1	1857104	1858452	+	LOC_Os01g04210	"DNA binding protein, putative, expressed"
1	1864478	1866109	+	LOC_Os01g04220	"DNA binding protein, putative, expressed"
1	1867936	1870390	+	LOC_Os01g04230	"inactive receptor kinase At2g26730 precursor, putative, expressed"
1	1876913	1879903	+	LOC_Os01g04250	"expressed protein"
1	1888524	1892298	+	LOC_Os01g04260	"fatty acid hydroxylase, putative, expressed"
1	1897077	1897316	-	LOC_Os01g04270	"hypothetical protein"
1	1902736	1905247	+	LOC_Os01g04280	"calmodulin binding protein, putative, expressed"
1	1906978	1909667	-	LOC_Os01g04290	"glycosyl hydrolase family 10 protein, putative, expressed"
1	1912561	1915094	-	LOC_Os01g04300	"glycosyl hydrolase family 10 protein, putative, expressed"
1	1928166	1930290	+	LOC_Os01g04324	"expressed protein"
1	1930994	1931904	-	LOC_Os01g04330	"OsCML16 - Calmodulin-related calcium sensor protein, expressed"
1	1934117	1935048	+	LOC_Os01g04340	"hsp20/alpha crystallin family protein, putative, expressed"
1	1941003	1941953	+	LOC_Os01g04350	"hsp20/alpha crystallin family protein, putative, expressed"
1	1944247	1945035	-	LOC_Os01g04360	"hsp20/alpha crystallin family protein, putative, expressed"
1	1948737	1949587	-	LOC_Os01g04370	"hsp20/alpha crystallin family protein, putative, expressed"
1	1951928	1952771	+	LOC_Os01g04380	"hsp20/alpha crystallin family protein, putative, expressed"
1	1955148	1955925	-	LOC_Os01g04390	"expressed protein"
1	1957777	1967451	-	LOC_Os01g04409	"OsWAK1 - OsWAK receptor-like cytoplasmic kinase OsWAK-RLCK, expressed"
1	1968323	1970538	-	LOC_Os01g04430	"expressed protein"
1	1973699	1977191	-	LOC_Os01g04440	"expressed protein"
1	1977423	1982484	-	LOC_Os01g04450	"OsWAK2 - OsWAK receptor-like cytoplasmic kinase OsWAK-RLCK, expressed"
1	1984267	1986394	+	LOC_Os01g04460	"Ser/Thr protein kinase, putative, expressed"
1	1988731	1991248	+	LOC_Os01g04470	"expressed protein"
1	1993515	1996857	+	LOC_Os01g04480	"expressed protein"
1	1998427	2002855	+	LOC_Os01g04490	"Ser/Thr protein kinase, putative, expressed"
1	2003219	2003916	-	LOC_Os01g04500	"expressed protein"
1	2006152	2007254	-	LOC_Os01g04510	"expressed protein"
1	2014821	2018057	+	LOC_Os01g04520	"Ser/Thr protein kinase, putative, expressed"
1	2021415	2022167	+	LOC_Os01g04530	"expressed protein"
1	2023879	2026177	+	LOC_Os01g04540	"serine/threonine-protein kinase At1g18390 precursor, putative, expressed"
1	2036118	2038198	+	LOC_Os01g04550	"expressed protein"
1	2041300	2042770	+	LOC_Os01g04560	"expressed protein"
1	2048717	2052521	+	LOC_Os01g04570	"Ser/Thr protein kinase, putative, expressed"
1	2053583	2057638	+	LOC_Os01g04580	"Ser/Thr protein kinase, putative, expressed"
1	2059309	2062277	+	LOC_Os01g04590	"expressed protein"
1	2063612	2066083	-	LOC_Os01g04600	"expressed protein"
1	2068588	2069263	+	LOC_Os01g04610	"hypothetical protein"
1	2074753	2077903	-	LOC_Os01g04630	"muconate cycloisomerase, putative, expressed"
1	2080105	2081540	+	LOC_Os01g04640	"reticulon domain containing protein, putative, expressed"
1	2083681	2087226	-	LOC_Os01g04650	"PB1 domain containing protein, expressed"
1	2097192	2100694	+	LOC_Os01g04660	"lipid phosphatase protein, putative, expressed"
1	2101874	2102672	-	LOC_Os01g04670	"expressed protein"
1	2108947	2109635	-	LOC_Os01g04690	"expressed protein"
1	2111026	2111651	-	LOC_Os01g04699	"expressed protein"
1	2120381	2122366	+	LOC_Os01g04710	"aspartic proteinase, putative, expressed"
1	2130798	2137310	+	LOC_Os01g04720	"leucine-rich repeat protein-related, putative, expressed"
1	2137763	2138996	+	LOC_Os01g04730	"ribosomal protein L24, putative, expressed"
1	2140865	2142091	-	LOC_Os01g04740	"hypothetical protein"
1	2154326	2155994	+	LOC_Os01g04750	"B3 DNA binding domain containing protein, expressed"
1	2162723	2162971	-	LOC_Os01g04760	"hypothetical protein"
1	2202264	2203860	+	LOC_Os01g04800	"B3 DNA binding domain containing protein, expressed"
1	2215586	2222837	-	LOC_Os01g04814	"vacuolar protein sorting-associating protein 4B, putative, expressed"
1	2224683	2225060	+	LOC_Os01g04830	"expressed protein"
1	2226000	2229526	-	LOC_Os01g04840	"vacuolar protein sorting-associating protein 4B, putative, expressed"
1	2245732	2250576	+	LOC_Os01g04860	"DUF647 domain containing protein, putative, expressed"
1	2250820	2255073	-	LOC_Os01g04870	"WD domain, G-beta repeat domain containing protein, expressed"
1	2265477	2271051	-	LOC_Os01g04900	"peptidase M50 family protein, putative, expressed"
1	2271163	2273757	+	LOC_Os01g04910	"TP53RK-binding protein, putative, expressed"
1	2275067	2278872	+	LOC_Os01g04920	"glycosyl transferase, group 1 domain containing protein, expressed"
1	2281534	2285053	-	LOC_Os01g04930	"MYB family transcription factor, putative, expressed"
1	2292111	2298407	+	LOC_Os01g04950	"peptide transporter PTR2, putative, expressed"
1	2328624	2328856	+	LOC_Os01g04970	"hypothetical protein"
1	2349919	2353502	-	LOC_Os01g04990	"mitochondrial carrier protein, putative, expressed"
1	2356183	2357045	+	LOC_Os01g05000	"expressed protein"
1	2357769	2360444	-	LOC_Os01g05010	"mitochondrial glycoprotein, putative, expressed"
1	2361799	2363814	-	LOC_Os01g05020	"expressed protein"
1	2369529	2371316	-	LOC_Os01g05040	"expressed protein"
1	2372323	2374066	-	LOC_Os01g05050	"mitochondrial glycoprotein, putative, expressed"
1	2374472	2376768	-	LOC_Os01g05060	"mitochondrial glycoprotein, putative, expressed"
1	2377322	2377980	-	LOC_Os01g05064	"expressed protein"
1	2378810	2382690	-	LOC_Os01g05070	"expressed protein"
1	2383530	2385638	-	LOC_Os01g05080	"thylakoid lumenal protein, putative, expressed"
1	2386373	2388611	+	LOC_Os01g05090	"expressed protein"
1	2388208	2390483	-	LOC_Os01g05100	"expressed protein"
1	2393480	2398292	+	LOC_Os01g05105	"expressed protein"
1	2400945	2402884	-	LOC_Os01g05120	"ubiquitin fusion degradation protein, putative, expressed"
1	2403270	2405982	+	LOC_Os01g05130	"expressed protein"
1	2406438	2408067	+	LOC_Os01g05140	"expressed protein"
1	2414271	2415072	+	LOC_Os01g05150	"expressed protein"
1	2419659	2420162	+	LOC_Os01g05160	"expressed protein"
1	2422242	2422914	+	LOC_Os01g05170	"expressed protein"
1	2434793	2438774	+	LOC_Os01g05180	"expressed protein"
1	2448716	2449048	+	LOC_Os01g05210	"hypothetical protein"
1	2452591	2453586	+	LOC_Os01g05220	"expressed protein"
1	2474556	2475156	+	LOC_Os01g05250	"expressed protein"
1	2478076	2480001	-	LOC_Os01g05260	"expressed protein"
1	2487387	2487986	+	LOC_Os01g05280	"expressed protein"
1	2488387	2491433	+	LOC_Os01g05289	"expressed protein"
1	2498269	2498740	-	LOC_Os01g05300	"hypothetical protein"
1	2500280	2501249	+	LOC_Os01g05310	"expressed protein"
1	2514678	2515682	+	LOC_Os01g05330	"expressed protein"
1	2520384	2522110	+	LOC_Os01g05340	"expressed protein"
1	2529389	2532475	+	LOC_Os01g05350	"expressed protein"
1	2535300	2535680	+	LOC_Os01g05360	"expressed protein"
1	2542013	2542732	-	LOC_Os01g05380	"expressed protein"
1	2547915	2548298	+	LOC_Os01g05390	"hypothetical protein"
1	2550946	2552121	+	LOC_Os01g05400	"expressed protein"
1	2553620	2554021	+	LOC_Os01g05410	"expressed protein"
1	2560858	2565373	+	LOC_Os01g05420	"IWS1 C-terminus family protein, putative, expressed"
1	2568051	2570029	+	LOC_Os01g05430	"OsRhmbd1 - Putative Rhomboid homologue, expressed"
1	2570072	2571997	-	LOC_Os01g05440	"XH domain containing protein, expressed"
1	2573049	2574201	-	LOC_Os01g05450	"expressed protein"
1	2575583	2578210	-	LOC_Os01g05460	"expressed protein"
1	2579552	2583575	-	LOC_Os01g05470	"transcription factor X1, putative, expressed"
1	2584986	2589023	-	LOC_Os01g05480	"expressed protein"
1	2589537	2593641	-	LOC_Os01g05490	"triosephosphate isomerase, cytosolic, putative, expressed"
1	2599850	2612865	+	LOC_Os01g05500	"zinc finger protein, putative, expressed"
1	2613656	2623196	-	LOC_Os01g05510	"expressed protein"
